num_pokedex,nombre,tipo1,tipo2,habilidad1,habilidad2,hab_oculta,peso,altura,ps,ataque,defensa,spatk,spdef,velocidad
0001,Bulbasaur,Tipo planta,Tipo veneno,Espesura,,Clorofila,"6,9 kg","0,7 m",45,49,49,65,65,45
0002,Ivysaur,Tipo planta,Tipo veneno,Espesura,,Clorofila,"13,0 kg","1,0 m",60,62,63,80,80,60
0003,Venusaur,Tipo planta,Tipo veneno,Espesura,,Clorofila,"100,0 kg","2,0 m",80,82,83,100,100,80
0004,Charmander,Tipo fuego,,Mar llamas,,Poder solar,"8,5 kg","0,6 m",39,52,43,60,50,65
0005,Charmeleon,Tipo fuego,,Mar llamas,,Poder solar,"19,0 kg","1,1 m",58,64,58,80,65,80
0006,Charizard,Tipo fuego,Tipo volador,Mar llamas,,Poder solar,"90,5 kg","1,7 m",78,84,78,109,85,100
0007,Squirtle,Tipo agua,,Torrente,,Cura lluvia,"9,0 kg","0,5 m",44,48,65,50,64,43
0008,Wartortle,Tipo agua,,Torrente,,Cura lluvia,"22,5 kg","1,0 m",59,63,80,65,80,58
0009,Blastoise,Tipo agua,,Torrente,,Cura lluvia,"85,5 kg","1,6 m",79,83,100,85,105,78
0010,Caterpie,Tipo bicho,,Polvo escudo,,Fuga,"2,9 kg","0,3 m",45,30,35,20,20,45
0011,Metapod,Tipo bicho,,Mudar,,,"9,9 kg","0,7 m",50,20,55,25,25,30
0012,Butterfree,Tipo bicho,Tipo volador,Ojo compuesto,,Cromolente,"32,0 kg","1,1 m",60,45,50,90,80,70
0013,Weedle,Tipo bicho,Tipo veneno,Polvo escudo,,Fuga,"3,2 kg","0,3 m",40,35,30,20,20,50
0014,Kakuna,Tipo bicho,Tipo veneno,Mudar,,,"10,0 kg","0,6 m",45,25,50,25,25,35
0015,Beedrill,Tipo bicho,Tipo veneno,Enjambre,,Francotirador,"29,5 kg","1,0 m",65,90,40,45,80,75
0016,Pidgey,Tipo normal,Tipo volador,Vista lince,Tumbos,Sacapecho,"1,8 kg","0,3 m",40,45,40,35,35,56
0017,Pidgeotto,Tipo normal,Tipo volador,Vista lince,Tumbos,Sacapecho,"30,0 kg","1,1 m",63,60,55,50,50,71
0018,Pidgeot,Tipo normal,Tipo volador,Vista lince,Tumbos,Sacapecho,"39,5 kg","1,5 m",83,80,75,70,70,101
0019,Rattata,Tipo normal,,Fuga,Agallas,Entusiasmo,"3,5 kg","0,3 m",30,56,35,25,35,72
0019,Rattata de Alola,Tipo siniestro,Tipo normal,Gula,Entusiasmo,Sebo,"3,8 kg","0,3 m",30,56,35,25,35,72
0020,Raticate,Tipo normal,,Fuga,Agallas,Entusiasmo,"18,5 kg","0,7 m",55,81,60,50,70,97
0020,Raticate de Alola,Tipo siniestro,Tipo normal,Gula,Entusiasmo,Sebo,"25,5 kg","0,7 m",75,71,70,40,80,77
0021,Spearow,Tipo normal,Tipo volador,Vista lince,,Francotirador,"2,0 kg","0,3 m",40,60,30,31,31,70
0022,Fearow,Tipo normal,Tipo volador,Vista lince,,Francotirador,"38,0 kg","1,2 m",65,90,65,61,61,100
0023,Ekans,Tipo veneno,,Intimidación,Mudar,Nerviosismo,"6,9 kg","2,0 m",35,60,44,40,54,55
0024,Arbok,Tipo veneno,,Intimidación,Mudar,Nerviosismo,"65,0 kg","3,5 m",60,95,69,65,79,80
0025,Pikachu,Tipo eléctrico,,Electricidad estática,,Pararrayos,"6,0 kg","0,4 m",35,55,40,50,50,90
0026,Raichu,Tipo eléctrico,,Electricidad estática,,Pararrayos,"30,0 kg","0,8 m",60,90,55,90,80,110
0026,Raichu de Alola,Tipo eléctrico,Tipo psíquico,Cola surf,,,"21,0 kg","0,7 m",60,85,50,95,85,110
0027,Sandshrew,Tipo tierra,,Velo arena,,Ímpetu arena,"12,0 kg","0,6 m",50,75,85,20,30,40
0027,Sandshrew de Alola,Tipo hielo,Tipo acero,Manto níveo,,Quitanieves,"40,0 kg","0,7 m",50,75,90,10,35,40
0028,Sandslash,Tipo tierra,,Velo arena,,Ímpetu arena,"29,5 kg","1,0 m",75,100,110,45,55,65
0028,Sandslash de Alola,Tipo hielo,Tipo acero,Manto níveo,,Quitanieves,"55,0 kg","1,2 m",75,100,120,25,65,65
0029,Nidoran♀,Tipo veneno,,Punto tóxico,Rivalidad,Entusiasmo,"7,0 kg","0,4 m",55,47,52,40,40,41
0030,Nidorina,Tipo veneno,,Punto tóxico,Rivalidad,Entusiasmo,"20,0 kg","0,8 m",70,62,67,55,55,56
0031,Nidoqueen,Tipo veneno,Tipo tierra,Punto tóxico,Rivalidad,Potencia bruta,"60,0 kg","1,3 m",90,92,87,75,85,76
0032,Nidoran♂,Tipo veneno,,Punto tóxico,Rivalidad,Entusiasmo,"9,0 kg","0,5 m",46,57,40,40,40,50
0033,Nidorino,Tipo veneno,,Punto tóxico,Rivalidad,Entusiasmo,"19,5 kg","0,9 m",61,72,57,55,55,65
0034,Nidoking,Tipo veneno,Tipo tierra,Punto tóxico,Rivalidad,Potencia bruta,"62,0 kg","1,4 m",81,102,77,85,75,85
0035,Clefairy,Tipo hada,,Gran encanto,Muro mágico,Compiescolta,"7,5 kg","0,6 m",70,45,48,60,65,35
0036,Clefable,Tipo hada,,Gran encanto,Muro mágico,Ignorante,"40,0 kg","1,3 m",95,70,73,95,90,60
0037,Vulpix,Tipo fuego,,Absorbe fuego,,Sequía,"9,9 kg","0,6 m",38,41,40,50,65,65
0037,Vulpix de Alola,Tipo hielo,,Manto níveo,,Nevada,"9,9 kg","0,6 m",38,41,40,50,65,65
0038,Ninetales,Tipo fuego,,Absorbe fuego,,Sequía,"19,9 kg","1,1 m",73,76,75,81,100,100
0038,Ninetales de Alola,Tipo hielo,Tipo hada,Manto níveo,,Nevada,"19,9 kg","1,1 m",73,67,75,81,100,109
0039,Jigglypuff,Tipo normal,Tipo hada,Gran encanto,Tenacidad,Compiescolta,"5,5 kg","0,5 m",115,45,20,45,25,20
0040,Wigglytuff,Tipo normal,Tipo hada,Gran encanto,Tenacidad,Cacheo,"12,0 kg","1,0 m",140,70,45,85,50,45
0041,Zubat,Tipo veneno,Tipo volador,Fuerza mental,,Allanamiento,"7,5 kg","0,8 m",40,45,35,30,40,55
0042,Golbat,Tipo veneno,Tipo volador,Fuerza mental,,Allanamiento,"55,0 kg","1,6 m",75,80,70,65,75,90
0043,Oddish,Tipo planta,Tipo veneno,Clorofila,,Fuga,"5,4 kg","0,5 m",45,50,55,75,65,30
0044,Gloom,Tipo planta,Tipo veneno,Clorofila,,Hedor,"8,6 kg","0,8 m",60,65,70,85,75,40
0045,Vileplume,Tipo planta,Tipo veneno,Clorofila,,Efecto espora,"18,6 kg","1,2 m",75,80,85,110,90,50
0046,Paras,Tipo bicho,Tipo planta,Efecto espora,Piel seca,Humedad,"5,4 kg","0,3 m",35,70,55,45,55,25
0047,Parasect,Tipo bicho,Tipo planta,Efecto espora,Piel seca,Humedad,"29,5 kg","1,0 m",60,95,80,60,80,30
0048,Venonat,Tipo bicho,Tipo veneno,Ojo compuesto,Cromolente,Fuga,"30,0 kg","1,0 m",60,55,50,40,55,45
0049,Venomoth,Tipo bicho,Tipo veneno,Polvo escudo,Cromolente,Piel milagro,"12,5 kg","1,5 m",70,65,60,90,75,90
0050,Diglett,Tipo tierra,,Velo arena,Trampa arena,Poder arena,"0,8 kg","0,2 m",10,55,25,35,45,95
0050,Diglett de Alola,Tipo tierra,Tipo acero,Velo arena,Rizos rebeldes,Poder arena,"1,0 kg","0,2 m",10,55,30,35,45,90
0051,Dugtrio,Tipo tierra,,Velo arena,Trampa arena,Poder arena,"33,3 kg","0,7 m",35,100,50,50,70,120
0051,Dugtrio de Alola,Tipo tierra,Tipo acero,Velo arena,Rizos rebeldes,Poder arena,"66,6 kg","0,7 m",35,100,60,50,70,110
0052,Meowth,Tipo normal,,Recogida,Experto,Nerviosismo,"4,2 kg","0,4 m",40,45,35,40,40,90
0052,Meowth de Alola,Tipo siniestro,,Recogida,Experto,Cobardía,"4,2 kg","0,4 m",40,35,35,50,40,90
0052,Meowth de Galar,Tipo acero,,Recogida,Garra dura,Nerviosismo,"7,5 kg","0,4 m",50,65,55,40,40,40
0053,Persian,Tipo normal,,Flexibilidad,Experto,Nerviosismo,"32,0 kg","1,0 m",65,70,60,65,65,115
0053,Persian de Alola,Tipo siniestro,,Pelaje recio,Experto,Cobardía,"33,0 kg","1,1 m",65,60,60,75,65,115
0054,Psyduck,Tipo agua,,Humedad,Aclimatación,Nado rápido,"19,6 kg","0,8 m",50,52,48,65,50,55
0055,Golduck,Tipo agua,,Humedad,Aclimatación,Nado rápido,"76,6 kg","1,7 m",80,82,78,95,80,85
0056,Mankey,Tipo lucha,,Espíritu vital,Irascible,Competitivo,"28,0 kg","0,5 m",40,80,35,35,45,70
0057,Primeape,Tipo lucha,,Espíritu vital,Irascible,Competitivo,"32,0 kg","1,0 m",65,105,60,60,70,95
0058,Growlithe,Tipo fuego,,Intimidación,Absorbe fuego,Justiciero,"19,0 kg","0,7 m",55,70,45,70,50,60
0058,Growlithe de Hisui,Tipo fuego,Tipo roca,Intimidación,Absorbe fuego,Cabeza roca1,"22,7 kg","0,8 m",60,75,45,65,50,55
0059,Arcanine,Tipo fuego,,Intimidación,Absorbe fuego,Justiciero,"155,0 kg","1,9 m",90,110,80,100,80,95
0059,Arcanine de Hisui,Tipo fuego,Tipo roca,Intimidación,Absorbe fuego,Cabeza roca1,"168,0 kg","2,0 m",95,115,80,95,80,90
0060,Poliwag,Tipo agua,,Absorbe agua,Humedad,Nado rápido,"12,4 kg","0,6 m",40,50,40,40,40,90
